epoch,train_loss
1,0.06088394105434418
2,0.01310484804213047
3,0.00811339819803834
4,0.006107822395861149
5,0.00499302115291357
6,0.0042375558614730835
7,0.0036464927066117525
8,0.003395471554249525
9,0.0029420454893261195
10,0.0027631994895637034
11,0.002472670413553715
12,0.0021788140013813974
13,0.0020055573200806974
14,0.0018752174405381084
15,0.0018999228347092868
16,0.001725344667211175
17,0.0016037978325039149
18,0.0015426543215289713
19,0.0014133131690323352
20,0.0014899003645405173
21,0.0014547133212909102
22,0.0014163660164922475
23,0.0013294964144006372
24,0.001319030155427754
25,0.0013140347553417086
26,0.0012867875071242451
27,0.001287940270267427
28,0.0013005165569484234
29,0.0012299060402438044
30,0.00112161073833704
31,0.001158564891666174
32,0.0011463675741106272
33,0.0010891051637008785
34,0.0010374690988101064
35,0.001078418055549264
36,0.0010789538454264403
37,0.0009777240315452219
38,0.0010714004607871176
39,0.0009733291668817401
40,0.0009546244749799371
41,0.0009371712524443865
42,0.0009430997027084231
43,0.0009356215875595808
44,0.000981113777961582
45,0.0010102707077749074
46,0.0009735592058859766
47,0.0008945583086460829
48,0.0009525961638428271
49,0.0009445043979212642
50,0.0008972231671214104
51,0.0009460574481636285
52,0.0008963847858831286
53,0.0008420466957613826
54,0.0009762496827170253
55,0.0009051763615570963
56,0.0008742246846668423
57,0.0008579737041145563
58,0.000825536057818681
59,0.0007889623008668422
60,0.0008755636657588184
61,0.000770609867759049
62,0.000761854280717671
63,0.0007204195624217391
64,0.0007307031867094338
65,0.0008170510875061155
66,0.0008807434025220573
67,0.0008619762538000941
68,0.0008718263288028538
69,0.0008263920713216066
70,0.0009258790872991085
71,0.0009318018285557627
72,0.0007762927166186273
73,0.0007791704428382217
74,0.0007771461387164891
75,0.0007612885418348015
76,0.0008110382361337543
77,0.0007753700111061334
78,0.000761028858833015
79,0.0007131882570683957
80,0.0007234071870334446
81,0.0006794882100075484
82,0.0007023695576936006
83,0.0006780344736762345
84,0.0007222001650370657
85,0.0007123832055367529
86,0.0006675955397076904
87,0.0007119010738097131
88,0.0007531048497185111
89,0.0008055187785066664
90,0.0007337566860951484
91,0.0006760093127377332
92,0.0007794402656145394
93,0.0006954422872513532
94,0.0006956005771644413
95,0.0006540853739716113
96,0.0006309276027604937
97,0.0006830794829875231
98,0.0006279102293774485
99,0.0006387631176039577
100,0.0006622532336041331
