epoch,train_loss
1,0.06619722470641136
2,0.014031500779092312
3,0.007948221620172263
4,0.006167387589812279
5,0.00493074694648385
6,0.004164241002872587
7,0.003556696642190218
8,0.0033285669051110744
9,0.003089481545612216
10,0.0027706319466233253
11,0.0025368827022612095
12,0.0024612123146653176
13,0.0021616908721625804
14,0.002077372632920742
15,0.0018849829770624638
16,0.001877167779020965
17,0.0017304779449477791
18,0.001635303278453648
19,0.001520209154114127
20,0.0014798218570649625
21,0.0015267498139292
22,0.0014805822912603616
23,0.0014315375173464418
24,0.0013616677466779948
25,0.0013027295703068376
26,0.0012968242820352316
27,0.0011990533396601677
28,0.0011867009522393346
29,0.0011947436723858118
30,0.0010712405154481531
31,0.0010812218813225627
32,0.0010502109862864017
33,0.0010622963355854153
34,0.0010642659687437118
35,0.0010500292526558041
36,0.0010199893033131957
37,0.0010780802881345153
38,0.001008499413728714
39,0.0009261203045025468
40,0.000884959816467017
41,0.0009064902947284281
42,0.0009676678548566997
43,0.0009607290825806559
44,0.0009160667541436851
45,0.0009256496862508356
46,0.00095019276952371
47,0.0008763397485017777
48,0.0008761632069945335
49,0.0009252786682918668
50,0.0008946695202030242
51,0.0008746152184903621
52,0.0009513544104993344
53,0.0009122588788159191
54,0.0009438443463295698
55,0.0007972423243336379
56,0.0009061912703327835
57,0.0007976823416538536
58,0.0007834321842528879
59,0.0008227274194359779
60,0.0009750272240489721
61,0.000951191345229745
62,0.0008690078975632787
63,0.0007586703007109463
64,0.0007971052452921867
65,0.0008361320872791112
66,0.0008113635028712451
67,0.0007468391512520611
68,0.0008088620682246983
69,0.0007030668132938445
70,0.000722250365652144
71,0.0008162460383027792
72,0.0007300890190526843
73,0.0006824297341518104
74,0.0007198920450173318
75,0.0006995899532921613
76,0.0006893681129440665
77,0.0007038120250217616
78,0.0006678337673656642
79,0.0006779265333898366
80,0.0006838328740559519
81,0.0006355959828943014
82,0.0006175202713347972
83,0.0006431040330789983
84,0.0006196867441758513
85,0.0006175231700763106
86,0.000596514823846519
87,0.0006584965600632131
88,0.0006779446476139128
89,0.0006756558385677636
90,0.0006104041612707079
91,0.000624075927771628
92,0.000637679509818554
93,0.0005847700498998166
94,0.0006033335183747113
95,0.0005694738426245749
96,0.0006018620450049638
97,0.0006161547033116221
98,0.0005914477910846472
99,0.0005652397591620683
100,0.0006639749347232282
