epoch,train_loss
1,0.06656320206820965
2,0.013908364288508892
3,0.00800736365839839
4,0.005858380384743214
5,0.004841846656054258
6,0.0041310940310359005
7,0.00363505931571126
8,0.003523096777498722
9,0.0030237350892275573
10,0.0027228656131774187
11,0.0025474033039063217
12,0.0024075381923466923
13,0.0021661880379542707
14,0.0021632332541048527
15,0.0019283043453469872
16,0.001868969933129847
17,0.0017971891816705465
18,0.001707298420369625
19,0.001630334104411304
20,0.0015753450430929662
21,0.0015121870301663875
22,0.0014192122826352715
23,0.001402906677685678
24,0.0012637585261836648
25,0.0012775982124730945
26,0.0012558591784909367
27,0.0012374621722847222
28,0.00121310627553612
29,0.0011456881160847843
30,0.001124096717685461
31,0.0011041264748200773
32,0.0009938302403315901
33,0.0010127787268720567
34,0.001022002031095326
35,0.0011095010978169739
36,0.00100356072653085
37,0.0010680723376572132
38,0.00105210165027529
39,0.0009907792625017465
40,0.0010440463479608297
41,0.0010646155709400772
42,0.0010136899072676897
43,0.0009777941205538808
44,0.0009948382037691772
45,0.0009598357370123267
46,0.0009347132756374777
47,0.0008747119898907841
48,0.0008380351238884032
49,0.0008384116599336267
50,0.0008532827836461365
51,0.0008527171611785888
52,0.0008297621691599488
53,0.0008508646790869534
54,0.0009389840019866824
55,0.0009476215136237443
56,0.0009263179101981222
57,0.0008505150233395398
58,0.0008719334215857088
59,0.000833520197775215
60,0.000770190313924104
61,0.0008022988820448518
62,0.0008229665947146713
63,0.0007505930354818702
64,0.0007382772979326546
65,0.0006835040892474353
66,0.0007012299215421081
67,0.0006752232904545963
68,0.0006851313286460936
69,0.000712088888976723
70,0.0007097450620494783
71,0.0008137831068597734
72,0.0007182419928722084
73,0.0007438271213322878
74,0.0007537967967800796
75,0.0007156391115859151
76,0.0006974203023128212
77,0.0007332612527534366
78,0.0007315348461270333
79,0.0006752718635834753
80,0.0007217217679135502
81,0.0007225619698874652
82,0.000744380468968302
83,0.000703672703821212
84,0.0007132879155687988
85,0.0007293619960546493
86,0.000663446958642453
87,0.0006562163471244276
88,0.000644607690628618
89,0.0006257555074989796
90,0.0006711266632191836
91,0.0006995701254345477
92,0.0006980636972002685
93,0.0006854128022678196
94,0.000650724817533046
95,0.0006567514617927372
96,0.0006214812980033457
97,0.0006727756280452013
98,0.0006529809185303748
99,0.0006238114577718079
100,0.000607891003601253
