method,sample_ratio,num_train_samples,num_test_samples,test_mse,joint_1_mse,joint_2_mse,joint_3_mse,joint_4_mse,joint_5_mse,joint_6_mse,joint_7_mse,epochs,batch_size,lr,seed
random,0.1,1600,4000,0.0041983968041188,8.535028790356591e-05,0.0021595704481005,0.0030279993964359,0.0009822618344333,0.0020502076074481,0.0016072793079074,0.0194761087466031,100,128,0.001,42
action_change,0.1,1600,4000,0.0075314482900513,0.0002487166009377,0.006123217687942,0.0034938855394721,0.0021516264770179,0.0083337875083088,0.0035014099855907,0.0288674942310899,100,128,0.001,42
fusion,0.1,1600,4000,0.0065239544730533,0.0001333886651555,0.0030406535007059,0.004243776910007,0.0013720047231763,0.0036702239504083,0.0021326595600694,0.0310749740018509,100,128,0.001,42
full,1.0,16000,4000,0.003102293778418763,0.00012395694741280748,0.000834540466312319,0.0006041750106960535,0.0007371293308679014,0.001656237558228895,0.001483544656424783,0.01627647247898858,100,128,0.001,42
