method,sample_ratio,num_train_samples,num_test_samples,test_mse,joint_1_mse,joint_2_mse,joint_3_mse,joint_4_mse,joint_5_mse,joint_6_mse,joint_7_mse
random,0.1,1600,4000,0.0041983968041188,8.535028790356591e-05,0.0021595704481005,0.0030279993964359,0.0009822618344333,0.0020502076074481,0.0016072793079074,0.0194761087466031
action_change,0.1,1600,4000,0.0075314482900513,0.0002487166009377,0.006123217687942,0.0034938855394721,0.0021516264770179,0.0083337875083088,0.0035014099855907,0.0288674942310899
visual_cluster,0.1,1600,4000,0.0041164273526062,0.0001158296898065,0.0018919363552704,0.0025253267437219,0.0010386281332466,0.0018876231601461,0.0019272145421709,0.0194284328438807
fusion,0.1,1600,4000,0.0065239544730533,0.0001333886651555,0.0030406535007059,0.004243776910007,0.0013720047231763,0.0036702239504083,0.0021326595600694,0.0310749740018509
fusion_neighbor,0.1,1600,4000,0.0065849910660846,0.0001232549609849,0.0046734910504892,0.0037470815498381,0.0014282085746526,0.0040752648720517,0.0024507414983818,0.0295968949561938
full,1.0,16000,4000,0.0031022937784187,0.0001239569474128,0.0008345404663123,0.000604175010696,0.0007371293308679,0.0016562375582288,0.0014835446564247,0.0162764724789885
